,物件名,エリア,最寄り駅,築年数,階数,URL
0,三田Ｄ館,室蘭市母恋南町3丁目,室蘭本線 母恋駅/徒歩16分,15,2階建,https://www.chintaistyle.jp/result/detail_201019026475.html?jis=01205
1,ビレッジハウス白鳥台1号棟,室蘭市白鳥台５丁目,室蘭本線 崎守駅/バス 9分/道南バス　雇用促進住宅入口 徒歩5分,51,4階建,https://www.chintaistyle.jp/result/detail_201018508998.html?jis=01205
2,眞島アパート,室蘭市清水町２丁目,室蘭本線 室蘭駅/徒歩17分,47,2階建,https://www.chintaistyle.jp/result/detail_201014054336.html?jis=01205
3,室工,室蘭市水元町,室蘭本線 東室蘭駅/バス 18分/水元団地中央 徒歩3分,17,2階建,https://www.chintaistyle.jp/result/detail_201018509553.html?jis=01205
4,ＴＲ１,室蘭市八丁平５丁目,室蘭本線 東室蘭駅/バス 16分/展望台入口 徒歩3分,9,2階建,https://www.chintaistyle.jp/result/detail_201018353406.html?jis=01205
5,フォルトゥーナ,室蘭市増市町１丁目,バス 増市通り 徒歩3分,10,4階建,https://www.chintaistyle.jp/result/detail_201017847860.html?jis=01205
6,ビレッジハウス白鳥台1号棟,室蘭市白鳥台５丁目,室蘭本線 崎守駅/バス 9分/道南バス　雇用促進住宅入口 徒歩5分,51,4階建,https://www.chintaistyle.jp/result/detail_201018508998.html?jis=01205
7,ブレイヴ,室蘭市八丁平５丁目,室蘭本線 東室蘭駅/バス 15分/高平通入口 徒歩3分,11,2階建,https://www.chintaistyle.jp/result/detail_201017315513.html?jis=01205
8,西口ハウス,室蘭市中島町３丁目,室蘭本線 東室蘭駅/徒歩4分,24,7階建,https://www.chintaistyle.jp/result/detail_201018771753.html?jis=01205
9,ビレッジハウス白鳥台１号棟,室蘭市白鳥台５丁目,室蘭本線 崎守駅/バス 9分/道南バス　雇用促進住宅入口 徒歩5分,51,4階建,https://www.chintaistyle.jp/result/detail_201018976088.html?jis=01205
10,プレイスⅠ,室蘭市増市町１丁目,室蘭本線 室蘭駅/バス 11分/桜ヶ丘 徒歩1分,15,2階建,https://www.chintaistyle.jp/result/detail_201017315475.html?jis=01205
11,グリフィンドール,室蘭市祝津町３丁目,--,14,2階建,https://www.chintaistyle.jp/result/detail_201018934532.html?jis=01205
12,グリフィンドール,室蘭市祝津町３丁目,--,14,2階建,https://www.chintaistyle.jp/result/detail_201018934532.html?jis=01205
13,コルジャ,室蘭市八丁平３丁目,室蘭本線 東室蘭駅/バス 21分/八丁平４丁目 徒歩4分,6,2階建,https://www.chintaistyle.jp/result/detail_201018548710.html?jis=01205
14,ポニーハウス,室蘭市八丁平５丁目,室蘭本線 東室蘭駅/バス 16分/展望台入口 徒歩3分,11,2階建,https://www.chintaistyle.jp/result/detail_201017315512.html?jis=01205
15,コーポ・ポレール,室蘭市輪西町１丁目,室蘭本線 輪西駅/徒歩2分,36,2階建,https://www.chintaistyle.jp/result/detail_201018920604.html?jis=01205
16,プリュス　ボナール,室蘭市増市町１丁目,室蘭本線 室蘭駅/バス 9分/増市通 徒歩1分,11,2階建,https://www.chintaistyle.jp/result/detail_201018813310.html?jis=01205
17,エムケーハイツ,室蘭市港南町２丁目,バス みなと小学校前 徒歩3分,57,2階建,https://www.chintaistyle.jp/result/detail_201017430788.html?jis=01205
18,モルエランウィンズＢ,室蘭市八丁平１丁目,バス 南公園前 徒歩1分,16,2階建,https://www.chintaistyle.jp/result/detail_201018698701.html?jis=01205
19,フリージア,室蘭市中央町２丁目,室蘭本線 室蘭駅/徒歩4分,11,2階建,https://www.chintaistyle.jp/result/detail_201019069290.html?jis=01205
20,ＥＬＧＲＡＮＤＥＳぽち☆たまＷＯＲＬＤ２３,室蘭市寿町１丁目,室蘭本線 東室蘭駅/徒歩4分,17,6階建,https://www.chintaistyle.jp/result/detail_201019061053.html?jis=01205
21,ベルコート,室蘭市中島町３丁目,室蘭本線 東室蘭駅/徒歩3分,24,3階建,https://www.chintaistyle.jp/result/detail_201018920763.html?jis=01205
22,メゾンユートピア,室蘭市小橋内町２丁目,--,10,2階建,https://www.chintaistyle.jp/result/detail_201018811922.html?jis=01205
23,秀弐番館,室蘭市知利別町１丁目,バス 旭ヶ丘小学校前 徒歩7分,21,7階建,https://www.chintaistyle.jp/result/detail_201018771748.html?jis=01205
24,レオパレス三田Ｄ館,室蘭市母恋南町３丁目,室蘭本線 母恋駅/バス 5分/南町４丁目 徒歩1分,15,2階建,https://www.chintaistyle.jp/result/detail_201018612489.html?jis=01205
25,ハイツキャンパス,室蘭市高砂町５丁目,バス 工業大学前 徒歩1分,32,2階建,https://www.chintaistyle.jp/result/detail_201019004122.html?jis=01205
26,レオパレスアルト山手,室蘭市山手町３丁目,室蘭本線 室蘭駅/徒歩10分,14,2階建,https://www.chintaistyle.jp/result/detail_201018995305.html?jis=01205
27,コーポアベニュー,室蘭市東町５丁目,室蘭本線 輪西駅/徒歩17分,27,3階建,https://www.chintaistyle.jp/result/detail_201018798928.html?jis=01205
28,レオパレス三田Ｃ館,室蘭市母恋南町３丁目,室蘭本線 母恋駅/バス 5分/南町４丁目 徒歩1分,15,2階建,https://www.chintaistyle.jp/result/detail_201018966417.html?jis=01205
29,サンステージ,室蘭市祝津町２丁目,バス 築港前 徒歩3分,17,2階建,https://www.chintaistyle.jp/result/detail_201018976094.html?jis=01205
30,レオネクストステラ,室蘭市入江町,室蘭本線 室蘭駅/徒歩14分,13,2階建,https://www.chintaistyle.jp/result/detail_201018995299.html?jis=01205
31,メゾンユートピア,室蘭市小橋内町２丁目,--,10,2階建,https://www.chintaistyle.jp/result/detail_201018811922.html?jis=01205
32,西口ハイツ,室蘭市中島町３丁目,室蘭本線 東室蘭駅/徒歩3分,43,3階建,https://www.chintaistyle.jp/result/detail_201018771754.html?jis=01205
33,エコヒルズＢ,室蘭市高砂町５丁目,ＪＲ室蘭本線 鷲別 徒歩25分,15,2階建,https://www.chintaistyle.jp/result/detail_201018918460.html?jis=01205
34,プレイスⅡ,室蘭市増市町１丁目,室蘭本線 室蘭駅/バス 11分/桜ヶ丘 徒歩1分,15,2階建,https://www.chintaistyle.jp/result/detail_201018945211.html?jis=01205
